,total,y,no init,sh,q,r,b,j,l,d,k,g,t,c,zh,x,ch,f,w,m,p,h,n,z,s
uan,"yun: 18/41, un: 13/41, aan: 10/41",,,aan: 3/3,,yun: 1/1,,,yun: 2/2,yun: 5/5,un: 2/2,"un: 6/8, aan: 2/8",yun: 1/1,aan: 1/1,yun: 2/2,,yun: 4/4,,,,,"un: 5/9, aan: 4/9",,,yun: 3/3
ei,"ai: 20/58, ui: 18/58, ei: 13/58, u: 2/58, eoi: 2/58, au: 1/58, aau: 1/58, aak: 1/58",,,,,,"ei: 3/6, ui: 2/6, au: 1/6",,eoi: 2/2,,,,,,,,,"ei: 3/8, u: 2/8, ai: 2/8, aau: 1/8","ai: 18/23, ei: 4/23, ui: 1/23","ui: 8/11, ei: 3/11",ui: 7/7,,,aak: 1/1,
eng,"ang: 16/57, ung: 15/57, ing: 11/57, aang: 11/57, eng: 2/57, oeng: 1/57, am: 1/57",,,ing: 3/3,,ing: 1/1,am: 1/1,,aang: 1/1,ang: 5/5,aang: 1/1,"eng: 1/2, ang: 1/2",ang: 3/3,ang: 1/1,"ing: 4/7, aang: 2/7, eng: 1/7",,ing: 3/3,ung: 10/10,ung: 3/3,"aang: 3/5, ang: 1/5, ung: 1/5","aang: 4/7, oeng: 1/7, ang: 1/7, ung: 1/7",,ang: 1/1,ang: 3/3,
ai,"oi: 26/51, aai: 19/51, aak: 3/51, ai: 1/51, ui: 1/51, aam: 1/51",,"oi: 1/2, aam: 1/2","aai: 1/2, ai: 1/2",,,aai: 1/1,,"aai: 1/2, oi: 1/2","oi: 2/4, aai: 2/4","oi: 1/2, aai: 1/2",oi: 3/3,"aai: 4/6, oi: 2/6","oi: 4/6, aai: 2/6","aak: 3/6, aai: 3/6",,aai: 1/1,,oi: 1/1,aai: 2/2,"aai: 1/2, ui: 1/2",oi: 2/2,oi: 2/2,oi: 5/5,oi: 2/2
iong,"ung: 7/9, ing: 2/9",,,,"ung: 1/2, ing: 1/2",,,,,,,,,,,"ung: 6/7, ing: 1/7",,,,,,,,,
uo,"o: 30/50, ok: 6/50, yut: 3/50, oek: 3/50, aak: 2/50, ou: 2/50, ai: 1/50, uk: 1/50, ut: 1/50, ek: 1/50",,,ek: 1/1,,oek: 1/1,,,o: 5/5,"o: 4/6, yut: 1/6, ok: 1/6",ut: 1/1,"ok: 2/4, o: 2/4","o: 5/7, ok: 1/7, yut: 1/7","o: 3/4, ou: 1/4","oek: 2/4, uk: 1/4, yut: 1/4",,,,,,,"aak: 2/4, o: 1/4, ok: 1/4","o: 3/4, ok: 1/4","o: 2/3, ou: 1/3","o: 5/6, ai: 1/6"
uang,"ong: 19/22, oeng: 3/22",,,oeng: 2/2,,,,,,,ong: 1/1,ong: 1/1,,,ong: 6/6,,"ong: 2/3, oeng: 1/3",,,,,ong: 9/9,,,
o,"o: 11/25, ut: 5/25, ok: 5/25, uk: 1/25, ak: 1/25, aa: 1/25, ou: 1/25",,,,,,"o: 4/9, ok: 3/9, ut: 2/9",,,,,,,,,,,,"o: 3/5, uk: 1/5, aa: 1/5","ut: 2/8, ok: 2/8, o: 2/8, ak: 1/8, ou: 1/8","o: 2/3, ut: 1/3",,,,
ie,"it: 14/46, aai: 12/46, ip: 11/46, e: 6/46, yut: 1/46, uk: 1/46, ai: 1/46",,,,"it: 1/2, ip: 1/2",,it: 2/2,"aai: 8/15, it: 4/15, e: 2/15, ip: 1/15","it: 1/2, ip: 1/2","ip: 4/5, e: 1/5",,,"ip: 1/2, it: 1/2",,,"aai: 4/13, e: 3/13, it: 3/13, yut: 1/13, uk: 1/13, ai: 1/13",,,,it: 2/2,,,ip: 3/3,,
ia,"aa: 9/19, aap: 6/19, at: 2/19, aai: 1/19, ap: 1/19",,,,"ap: 1/2, aap: 1/2",,,"aa: 6/10, aap: 3/10, aai: 1/10",,,,,,,,"aa: 3/7, aap: 2/7, at: 2/7",,,,,,,,,
ua,"aa: 7/9, aat: 2/9",,,aa: 1/1,,,,,,,aa: 2/2,"aa: 3/4, aat: 1/4",,,,,,,,,,"aa: 1/2, aat: 1/2",,,
uai,"aai: 10/13, at: 1/13, ui: 1/13, eot: 1/13",,,"at: 1/2, eot: 1/2",,,,,,,aai: 3/3,aai: 3/3,,,,,,,,,,"aai: 4/5, ui: 1/5",,,
iang,"oeng: 31/36, ong: 5/36",,,,"oeng: 2/3, ong: 1/3",,,"oeng: 9/11, ong: 2/11","oeng: 6/7, ong: 1/7",,,,,,,"oeng: 13/14, ong: 1/14",,,,,,,oeng: 1/1,,
